,miRNA,ceRNA,species,database,type
1012,hsa-let-7-5p/98-5p,GOLGA7,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1013,hsa-let-7-5p/98-5p,GOLT1B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1014,hsa-let-7-5p/98-5p,GOPC,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1015,hsa-let-7-5p/98-5p,GPATCH2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1016,hsa-let-7-5p/98-5p,GPATCH3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1017,hsa-let-7-5p/98-5p,GPC4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1018,hsa-let-7-5p/98-5p,GPCPD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1019,hsa-let-7-5p/98-5p,GPR132,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1020,hsa-let-7-5p/98-5p,GPR137,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1021,hsa-let-7-5p/98-5p,GPR137C,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1022,hsa-let-7-5p/98-5p,GPR156,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1023,hsa-let-7-5p/98-5p,GPR157,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1024,hsa-let-7-5p/98-5p,GPR26,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1025,hsa-let-7-5p/98-5p,GPR61,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1026,hsa-let-7-5p/98-5p,GPR63,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1027,hsa-let-7-5p/98-5p,GRAMD1B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1028,hsa-let-7-5p/98-5p,GREB1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1029,hsa-let-7-5p/98-5p,GREB1L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1030,hsa-let-7-5p/98-5p,GRID2IP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1031,hsa-let-7-5p/98-5p,GRIK2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1032,hsa-let-7-5p/98-5p,GRIN2B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1033,hsa-let-7-5p/98-5p,GRIN3A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1034,hsa-let-7-5p/98-5p,GRPEL2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1035,hsa-let-7-5p/98-5p,GSG1L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1036,hsa-let-7-5p/98-5p,GTF2I,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1037,hsa-let-7-5p/98-5p,GXYLT1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1038,hsa-let-7-5p/98-5p,GYG2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1039,hsa-let-7-5p/98-5p,HABP4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1040,hsa-let-7-5p/98-5p,HAND1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1041,hsa-let-7-5p/98-5p,HAND2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1042,hsa-let-7-5p/98-5p,HAS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1043,hsa-let-7-5p/98-5p,HBEGF,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1044,hsa-let-7-5p/98-5p,HCFC2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1045,hsa-let-7-5p/98-5p,HDHD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1046,hsa-let-7-5p/98-5p,HDLBP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1047,hsa-let-7-5p/98-5p,HDX,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1048,hsa-let-7-5p/98-5p,HECTD2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1049,hsa-let-7-5p/98-5p,HECTD4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1050,hsa-let-7-5p/98-5p,HELZ,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1051,hsa-let-7-5p/98-5p,HIC1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1052,hsa-let-7-5p/98-5p,HIC2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1053,hsa-let-7-5p/98-5p,HIF1AN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1054,hsa-let-7-5p/98-5p,HIF3A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1055,hsa-let-7-5p/98-5p,HIP1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1056,hsa-let-7-5p/98-5p,HIPK2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1057,hsa-let-7-5p/98-5p,HK2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1058,hsa-let-7-5p/98-5p,HLF,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1059,hsa-let-7-5p/98-5p,HMGA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1060,hsa-let-7-5p/98-5p,HMGA2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1061,hsa-let-7-5p/98-5p,HNRNPA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1062,hsa-let-7-5p/98-5p,HOOK1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1063,hsa-let-7-5p/98-5p,HOXA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1064,hsa-let-7-5p/98-5p,HOXA9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1065,hsa-let-7-5p/98-5p,HOXB1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1066,hsa-let-7-5p/98-5p,HOXC11,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1067,hsa-let-7-5p/98-5p,HOXD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1068,hsa-let-7-5p/98-5p,HS2ST1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1069,hsa-let-7-5p/98-5p,HSPE1-MOB4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1070,hsa-let-7-5p/98-5p,HTR1E,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1071,hsa-let-7-5p/98-5p,HTR4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1072,hsa-let-7-5p/98-5p,ICK,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1073,hsa-let-7-5p/98-5p,ICMT,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1074,hsa-let-7-5p/98-5p,ICOS,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1075,hsa-let-7-5p/98-5p,IDH2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1076,hsa-let-7-5p/98-5p,IGDCC3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1077,hsa-let-7-5p/98-5p,IGDCC4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1078,hsa-let-7-5p/98-5p,IGF1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1079,hsa-let-7-5p/98-5p,IGF1R,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1080,hsa-let-7-5p/98-5p,IGF2BP1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1081,hsa-let-7-5p/98-5p,IGF2BP2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1082,hsa-let-7-5p/98-5p,IGF2BP3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1083,hsa-let-7-5p/98-5p,IGLON5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1084,hsa-let-7-5p/98-5p,IGSF1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1085,hsa-let-7-5p/98-5p,IKBKAP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1086,hsa-let-7-5p/98-5p,IKBKE,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1087,hsa-let-7-5p/98-5p,IKZF2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1088,hsa-let-7-5p/98-5p,IL10,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1089,hsa-let-7-5p/98-5p,IL13,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1090,hsa-let-7-5p/98-5p,IL6R,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1091,hsa-let-7-5p/98-5p,IMPG2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1092,hsa-let-7-5p/98-5p,INO80D,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1093,hsa-let-7-5p/98-5p,INPP5A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1094,hsa-let-7-5p/98-5p,INSR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1095,hsa-let-7-5p/98-5p,INTS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1096,hsa-let-7-5p/98-5p,INTU,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1097,hsa-let-7-5p/98-5p,IPO11,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1098,hsa-let-7-5p/98-5p,IPO9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1099,hsa-let-7-5p/98-5p,IQCB1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1100,hsa-let-7-5p/98-5p,IRGQ,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1101,hsa-let-7-5p/98-5p,IRS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1102,hsa-let-7-5p/98-5p,ISLR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1103,hsa-let-7-5p/98-5p,ITGA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1104,hsa-let-7-5p/98-5p,ITGB3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1105,hsa-let-7-5p/98-5p,ITGB8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1106,hsa-let-7-5p/98-5p,ITSN1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1107,hsa-let-7-5p/98-5p,JOSD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1108,hsa-let-7-5p/98-5p,KATNAL1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1109,hsa-let-7-5p/98-5p,KATNBL1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1110,hsa-let-7-5p/98-5p,KCMF1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1111,hsa-let-7-5p/98-5p,KCNA6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1112,hsa-let-7-5p/98-5p,KCNC1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1113,hsa-let-7-5p/98-5p,KCNC2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1114,hsa-let-7-5p/98-5p,KCNC3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1115,hsa-let-7-5p/98-5p,KCNC4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1116,hsa-let-7-5p/98-5p,KCNJ11,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1117,hsa-let-7-5p/98-5p,KCNJ3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1118,hsa-let-7-5p/98-5p,KCNJ6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1119,hsa-let-7-5p/98-5p,KCNK6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1120,hsa-let-7-5p/98-5p,KCNQ4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1121,hsa-let-7-5p/98-5p,KCNV1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1122,hsa-let-7-5p/98-5p,KCTD10,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1123,hsa-let-7-5p/98-5p,KCTD15,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1124,hsa-let-7-5p/98-5p,KCTD16,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1125,hsa-let-7-5p/98-5p,KCTD17,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1126,hsa-let-7-5p/98-5p,KCTD21,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1127,hsa-let-7-5p/98-5p,KDM3A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1128,hsa-let-7-5p/98-5p,KHNYN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1129,hsa-let-7-5p/98-5p,KIAA0391,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1130,hsa-let-7-5p/98-5p,KIAA0895L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1131,hsa-let-7-5p/98-5p,KIAA0930,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1132,hsa-let-7-5p/98-5p,KIAA1147,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1133,hsa-let-7-5p/98-5p,KIAA1161,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1134,hsa-let-7-5p/98-5p,KIAA1244,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1135,hsa-let-7-5p/98-5p,KIAA1467,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1136,hsa-let-7-5p/98-5p,KIAA1549,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1137,hsa-let-7-5p/98-5p,KIAA1919,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1138,hsa-let-7-5p/98-5p,KIAA1958,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1139,hsa-let-7-5p/98-5p,KIAA2022,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1140,hsa-let-7-5p/98-5p,KIF21B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1141,hsa-let-7-5p/98-5p,KIF2A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1142,hsa-let-7-5p/98-5p,KLF8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1143,hsa-let-7-5p/98-5p,KLF9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1144,hsa-let-7-5p/98-5p,KLHDC8B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1145,hsa-let-7-5p/98-5p,KLHL13,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1146,hsa-let-7-5p/98-5p,KLHL23,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1147,hsa-let-7-5p/98-5p,KLHL31,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1148,hsa-let-7-5p/98-5p,KLHL36,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1149,hsa-let-7-5p/98-5p,KLHL6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1150,hsa-let-7-5p/98-5p,KLK10,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1151,hsa-let-7-5p/98-5p,KMT2D,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1152,hsa-let-7-5p/98-5p,KMT2E,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1153,hsa-let-7-5p/98-5p,KPNA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1154,hsa-let-7-5p/98-5p,KPNA4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1155,hsa-let-7-5p/98-5p,KPNA5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1156,hsa-let-7-5p/98-5p,KREMEN1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1157,hsa-let-7-5p/98-5p,L2HGDH,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1158,hsa-let-7-5p/98-5p,LBH,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1159,hsa-let-7-5p/98-5p,LBR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1160,hsa-let-7-5p/98-5p,LCOR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1161,hsa-let-7-5p/98-5p,LCORL,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1162,hsa-let-7-5p/98-5p,LDB1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1163,hsa-let-7-5p/98-5p,LEPROTL1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1164,hsa-let-7-5p/98-5p,LGR4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1165,hsa-let-7-5p/98-5p,LIMD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1166,hsa-let-7-5p/98-5p,LIMD2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1167,hsa-let-7-5p/98-5p,LIMK2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1168,hsa-let-7-5p/98-5p,LIN28A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1169,hsa-let-7-5p/98-5p,LIN28B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1170,hsa-let-7-5p/98-5p,LINGO1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1171,hsa-let-7-5p/98-5p,LIPH,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1172,hsa-let-7-5p/98-5p,LIPT2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1173,hsa-let-7-5p/98-5p,LMLN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1174,hsa-let-7-5p/98-5p,LMX1A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1175,hsa-let-7-5p/98-5p,LONRF3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1176,hsa-let-7-5p/98-5p,LOR,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1177,hsa-let-7-5p/98-5p,LOXL4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1178,hsa-let-7-5p/98-5p,LPGAT1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1179,hsa-let-7-5p/98-5p,LPHN3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1180,hsa-let-7-5p/98-5p,LRFN4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1181,hsa-let-7-5p/98-5p,LRIG2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1182,hsa-let-7-5p/98-5p,LRIG3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1183,hsa-let-7-5p/98-5p,LRRC10B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1184,hsa-let-7-5p/98-5p,LRRC20,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1185,hsa-let-7-5p/98-5p,LRRC59,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1186,hsa-let-7-5p/98-5p,LRRC8B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1187,hsa-let-7-5p/98-5p,LSM11,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1188,hsa-let-7-5p/98-5p,LTN1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1189,hsa-let-7-5p/98-5p,LUC7L3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1190,hsa-let-7-5p/98-5p,LYVE1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1191,hsa-let-7-5p/98-5p,LZIC,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1192,hsa-let-7-5p/98-5p,MAP3K1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1193,hsa-let-7-5p/98-5p,MAP3K13,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1194,hsa-let-7-5p/98-5p,MAP3K2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1195,hsa-let-7-5p/98-5p,MAP3K3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1196,hsa-let-7-5p/98-5p,MAP3K9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1197,hsa-let-7-5p/98-5p,MAP4K3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1198,hsa-let-7-5p/98-5p,MAP4K4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1199,hsa-let-7-5p/98-5p,MAPK1IP1L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1200,hsa-let-7-5p/98-5p,MAPK6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1201,hsa-let-7-5p/98-5p,MAPK8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1202,hsa-let-7-5p/98-5p,MARCH9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1203,hsa-let-7-5p/98-5p,MARS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1204,hsa-let-7-5p/98-5p,MBD2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1205,hsa-let-7-5p/98-5p,MBTD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1206,hsa-let-7-5p/98-5p,MBTPS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1207,hsa-let-7-5p/98-5p,MDFI,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1208,hsa-let-7-5p/98-5p,MDM4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1209,hsa-let-7-5p/98-5p,MED28,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1210,hsa-let-7-5p/98-5p,MED6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1211,hsa-let-7-5p/98-5p,MED8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1212,hsa-let-7-5p/98-5p,MEF2C,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1213,hsa-let-7-5p/98-5p,MEF2D,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1214,hsa-let-7-5p/98-5p,MEGF11,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1215,hsa-let-7-5p/98-5p,MEIS1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1216,hsa-let-7-5p/98-5p,MEIS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1217,hsa-let-7-5p/98-5p,MESDC1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1218,hsa-let-7-5p/98-5p,MEX3A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1219,hsa-let-7-5p/98-5p,MFAP3L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1220,hsa-let-7-5p/98-5p,MFSD4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1221,hsa-let-7-5p/98-5p,MGA,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1222,hsa-let-7-5p/98-5p,MGAT4A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1223,hsa-let-7-5p/98-5p,MGLL,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1224,hsa-let-7-5p/98-5p,MIB1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1225,hsa-let-7-5p/98-5p,MICALCL,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1226,hsa-let-7-5p/98-5p,MIEF1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1227,hsa-let-7-5p/98-5p,MIOS,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1228,hsa-let-7-5p/98-5p,MLLT10,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1229,hsa-let-7-5p/98-5p,MLXIP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1230,hsa-let-7-5p/98-5p,MMP11,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1231,hsa-let-7-5p/98-5p,MOB4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1232,hsa-let-7-5p/98-5p,MON2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1233,hsa-let-7-5p/98-5p,MPST,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1234,hsa-let-7-5p/98-5p,MRS2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1235,hsa-let-7-5p/98-5p,MSANTD3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1236,hsa-let-7-5p/98-5p,MSI2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1237,hsa-let-7-5p/98-5p,MSN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1238,hsa-let-7-5p/98-5p,MTDH,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1239,hsa-let-7-5p/98-5p,MTMR12,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1240,hsa-let-7-5p/98-5p,MTMR3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1241,hsa-let-7-5p/98-5p,MTUS1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1242,hsa-let-7-5p/98-5p,MVB12B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1243,hsa-let-7-5p/98-5p,MXD1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1244,hsa-let-7-5p/98-5p,MYCBP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1245,hsa-let-7-5p/98-5p,MYCL,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1246,hsa-let-7-5p/98-5p,MYCN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1247,hsa-let-7-5p/98-5p,MYO1F,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1248,hsa-let-7-5p/98-5p,MYO5B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1249,hsa-let-7-5p/98-5p,MYRIP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1250,hsa-let-7-5p/98-5p,NAA20,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1251,hsa-let-7-5p/98-5p,NAA30,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1252,hsa-let-7-5p/98-5p,NAP1L1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1253,hsa-let-7-5p/98-5p,NAPEPLD,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1254,hsa-let-7-5p/98-5p,NAT8L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1255,hsa-let-7-5p/98-5p,NCOA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1256,hsa-let-7-5p/98-5p,NCOR1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1257,hsa-let-7-5p/98-5p,NDST2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1258,hsa-let-7-5p/98-5p,NEDD4L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1259,hsa-let-7-5p/98-5p,NEFM,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1260,hsa-let-7-5p/98-5p,NEK3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1261,hsa-let-7-5p/98-5p,NEK9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1262,hsa-let-7-5p/98-5p,NGF,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1263,hsa-let-7-5p/98-5p,NHLRC2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1264,hsa-let-7-5p/98-5p,NHLRC3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
1265,hsa-let-7-5p/98-5p,NID2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
